State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
NY,36,21300,Northville Central School District,Hamilton County,041
NY,36,21300,Northville Central School District,Saratoga County,091
NY,36,21330,Norwich City School District,Chenango County,017
NY,36,21360,Norwood-Norfolk Central School District,St. Lawrence County,089
NY,36,21480,Nyack Union Free School District,Rockland County,087
NY,36,21510,Oakfield-Alabama Central School District,Genesee County,037
NY,36,21510,Oakfield-Alabama Central School District,Orleans County,073
NY,36,21570,Oceanside Union Free School District,Nassau County,059
NY,36,21630,Odessa-Montour Central School District,Chemung County,015
NY,36,21630,Odessa-Montour Central School District,Schuyler County,097
NY,36,21630,Odessa-Montour Central School District,Tompkins County,109
NY,36,21660,Ogdensburg City School District,St. Lawrence County,089
NY,36,21720,Olean City School District,Cattaraugus County,009
NY,36,00013,Oneida City School District,Madison County,053
NY,36,00013,Oneida City School District,Oneida County,065
NY,36,21780,Oneonta City School District,Delaware County,025
NY,36,21780,Oneonta City School District,Otsego County,077
NY,36,21810,Onondaga Central School District,Onondaga County,067
NY,36,21840,Onteora Central School District,Greene County,039
NY,36,21840,Onteora Central School District,Ulster County,111
NY,36,01107,Oppenheim-Ephratah-St. Johnsville Central School District,Fulton County,035
NY,36,01107,Oppenheim-Ephratah-St. Johnsville Central School District,Herkimer County,043
NY,36,01107,Oppenheim-Ephratah-St. Johnsville Central School District,Montgomery County,057
NY,36,21900,Orchard Park Central School District,Erie County,029
NY,36,21960,Oriskany Central School District,Oneida County,065
NY,36,22020,Ossining Union Free School District,Westchester County,119
NY,36,22050,Oswego City School District,Cayuga County,011
NY,36,22050,Oswego City School District,Oswego County,075
NY,36,29240,Otego-Unadilla Central School District,Delaware County,025
NY,36,29240,Otego-Unadilla Central School District,Otsego County,077
NY,36,22170,Owego-Apalachin Central School District,Tioga County,107
NY,36,22260,Oxford Academy and Central School District,Chenango County,017
NY,36,22290,Oyster Bay-East Norwich Central School District,Nassau County,059
NY,36,21930,Oysterponds Union Free School District,Suffolk County,103
NY,36,22380,Palmyra-Macedon Central School District,Ontario County,069
NY,36,22380,Palmyra-Macedon Central School District,Wayne County,117
NY,36,22410,Panama Central School District,Chautauqua County,013
NY,36,22440,Parishville-Hopkinton Central School District,St. Lawrence County,089
NY,36,22470,Patchogue-Medford Union Free School District,Suffolk County,103
NY,36,22500,Pavilion Central School District,Genesee County,037
NY,36,22500,Pavilion Central School District,Livingston County,051
NY,36,22500,Pavilion Central School District,Wyoming County,121
NY,36,22530,Pawling Central School District,Dutchess County,027
NY,36,22530,Pawling Central School District,Putnam County,079
NY,36,22560,Pearl River Union Free School District,Rockland County,087
NY,36,22650,Peekskill City School District,Westchester County,119
NY,36,22680,Pelham Union Free School District,Westchester County,119
NY,36,08340,Pembroke Central School District,Genesee County,037
