Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Almost Perfect,"Katcher, Brian",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Beloved,"Morrison, Toni",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Dead Until Dark,"Harris, Charlaine",,,,Sookie Stackhouse,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
More Happy Than Not,"Silvera, Adam",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Nineteen Minutes,"Picoult, Jodi",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Outlander,"Gabaldon, Diana",,,,Outlander,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Sloppy Firsts,"McCafferty, Megan",,,,Jessica Darling,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Something Happened in Our Town,"Celano, Marianne","Moses, Donald",,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The Bluest Eye,"Morrison, Toni",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The God of Small Things,"Roy, Arundhati",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The Kite Runner,"Hosseini, Khaled",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The Truth About Alice: A Novel,"Mathieu, Jennifer",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The Vincent Boys,"Glines, Abbi",,,,The Vincent Boys,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Tricks,"Hopkins, Ellen",,,,Tricks,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Two Boys Kissing,"Levithan, David",,,,,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Unravel Me,"Mafi, Tahereh",,,,Shatter Me,Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Texas,Conroe Independent School District,Nov-22,Banned from Libraries and Classrooms,Formal Challenge
All Your Perfects,"Hoover, Colleen",,,,Hopeless,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
American Psycho,"Ellis, Bret Easton",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 1","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 10","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 11","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 12","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 13","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 14","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 15","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 16","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 17","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 18","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 19","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 2","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 20","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 21","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 3","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 4","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 5","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 6","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 7","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 8","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Assassination Classroom, Vol. 9","Matsui, Yūsei",,,,Assassination Classroom,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Beautiful,"Reed, Amy",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Blazed,"Myers, Jason",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Breathless,"Niven, Jennifer",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Burned (EH),"Hopkins, Ellen",,,,Burned,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Damsel,"Arnold, Elana K.",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries,Administration
Eleanor & Park,"Rowell, Rainbow",,,,,Texas,Conroe Independent School District,Sep-22,Banned from Libraries,Formal Challenge
Empire of Storms,"Maas, Sarah J.",,,,Throne of Glass,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Fallout,"Hopkins, Ellen",,,,Crank,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Flamer,"Curato, Mike",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Furyborn,"Legrand, Claire",,,,Empirium,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Glass,"Hopkins, Ellen",,,,Crank,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
I Never,"Hopper, Laura",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Identical,"Hopkins, Ellen",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
It,"King, Stephen",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
It Ends With Us,"Hoover, Colleen",,,,It Ends with Us,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
It Starts With Us,"Hoover, Colleen",,,,It Ends with Us,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Kingsbane,"Legrand, Claire",,,,The Empirium Trilogy,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Lawn Boy,"Evison, Jonathan",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Lightbringer,"Legrand, Claire",,,,The Empirium Trilogy,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Milk and Honey,"Kaur, Rupi",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
My Friend Dahmer,"Backderf, Derf",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
9-Nov,"Hoover, Colleen",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
On Earth We're Briefly Gorgeous,"Vuong, Ocean",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
People Kill People,"Hopkins, Ellen",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Perfect,"Hopkins, Ellen",,,,Impulse,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Push,Sapphire,,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Ramona Blue,"Murphy, Julie",,,,,Texas,Conroe Independent School District,Nov-22,Banned from Libraries,Formal Challenge
Red Hood,"Arnold, Elana K.",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Red, White, and Royal Blue","McQuiston, Casey",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Regretting You,"Hoover, Colleen",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Reminders of Him,"Hoover, Colleen",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Smoke,"Hopkins, Ellen",,,,Impulse,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,,,Hamilton High,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale,"Atwood, Margaret",,,,,Texas,Conroe Independent School District,Nov-22,Banned from Libraries and Classrooms,Formal Challenge
The Handsome Girl & Her Beautiful Boy,"Gottfred, B. T.",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Haters,"Andrews, Jesse",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Infinite Moment of Us,"Myracle, Lauren",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Nowhere Girls,"Reed, Amy",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,,Texas,Conroe Independent School District,Sep-22,Banned from Classrooms,Formal Challenge
